
FILE: src/Admin/InsightDashboard.php
Line 	Column 	Type 	Code 	Message
985 	23 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1114 	20 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1114 	20 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().
1244 	5 	WARNING 	WordPress.DB.DirectDatabaseQuery.DirectQuery 	Use of a direct database call is discouraged.
1244 	5 	WARNING 	WordPress.DB.DirectDatabaseQuery.NoCaching 	Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().

FILE: src/Admin/Admin.php
Line 	Column 	Type 	Code 	Message
570 	21 	WARNING 	WordPressVIPMinimum.Performance.WPQueryParams.PostNotIn_exclude 	Using exclusionary parameters, like exclude, in calls to get_posts() should be done with caution, see https://wpvip.com/documentation/performance-improvements-by-removing-usage-of-post__not_in/ for more information.

FILE: src/Core/Logging/ComponentSanitizer.php
Line 	Column 	Type 	Code 	Message
140 	26 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_key 	Detected usage of meta_key, possible slow query.

FILE: src/Core/PremiumComponentFallback.php
Line 	Column 	Type 	Code 	Message
218 	13 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_query 	Detected usage of meta_query, possible slow query.

FILE: src/Core/Core.php
Line 	Column 	Type 	Code 	Message
1698 	13 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_query 	Detected usage of meta_query, possible slow query.

FILE: src/Includes/Utils/OrderMetaManager.php
Line 	Column 	Type 	Code 	Message
349 	17 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_key 	Detected usage of meta_key, possible slow query.
350 	17 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_value 	Detected usage of meta_value, possible slow query.
390 	17 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_key 	Detected usage of meta_key, possible slow query.
391 	17 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_value 	Detected usage of meta_value, possible slow query.
465 	21 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_key 	Detected usage of meta_key, possible slow query.
466 	21 	WARNING 	WordPress.DB.SlowDBQuery.slow_db_query_meta_value 	Detected usage of meta_value, possible slow query.
